StartTime,EndTime,Status,Unit,Value,PollutantName,SiteName,SiteType,Region,Country
2013-12-01T00:00:00Z,2013-12-31T23:59:00Z,V,ugm-3,0.025,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-11-01T00:00:00Z,2013-11-30T23:59:00Z,V,ugm-3,0.013,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-10-01T00:00:00Z,2013-10-31T23:59:00Z,V,ugm-3,0.024,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-09-01T00:00:00Z,2013-09-30T23:59:00Z,V,ugm-3,0.017,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-08-01T00:00:00Z,2013-08-31T23:59:00Z,V,ugm-3,0.009,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-07-01T00:00:00Z,2013-07-31T23:59:00Z,V,ugm-3,0.006,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-06-01T00:00:00Z,2013-06-30T23:59:00Z,V,ugm-3,0.003,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-05-01T00:00:00Z,2013-05-31T23:59:00Z,V,ugm-3,0.007,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-04-01T00:00:00Z,2013-04-30T23:59:00Z,V,ugm-3,0.006,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-03-01T00:00:00Z,2013-03-31T23:59:00Z,V,ugm-3,0.063,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-02-01T00:00:00Z,2013-02-28T23:59:00Z,V,ugm-3,0.04,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-01-01T00:00:00Z,2013-01-31T23:59:00Z,V,ugm-3,0.085,Dibenzo(ah)anthracene,Harwell,RuralBackground,South East,England
2013-12-01T00:00:00Z,2013-12-31T23:59:00Z,V,ugm-3,0.122,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-11-01T00:00:00Z,2013-11-30T23:59:00Z,V,ugm-3,0.106,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-10-01T00:00:00Z,2013-10-31T23:59:00Z,V,ugm-3,0.044,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-09-01T00:00:00Z,2013-09-30T23:59:00Z,V,ugm-3,0.044,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-08-01T00:00:00Z,2013-08-31T23:59:00Z,V,ugm-3,0.017,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-07-01T00:00:00Z,2013-07-31T23:59:00Z,V,ugm-3,0.028,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-06-01T00:00:00Z,2013-06-30T23:59:00Z,V,ugm-3,0.022,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-05-01T00:00:00Z,2013-05-31T23:59:00Z,V,ugm-3,0.031,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-04-01T00:00:00Z,2013-04-30T23:59:00Z,V,ugm-3,0.047,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-03-01T00:00:00Z,2013-03-31T23:59:00Z,V,ugm-3,0.163,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-02-01T00:00:00Z,2013-02-28T23:59:00Z,V,ugm-3,0.126,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
2013-01-01T00:00:00Z,2013-01-31T23:59:00Z,V,ugm-3,0.2,Benzo(a)pyrene,Harwell,RuralBackground,South East,England
