Hourly data from Defra on 05/18/2026 12:18:32
Site Name,Oldbury Birmingham Road
Site Type,Urban Traffic
Region,West Midlands
Latitude,52.502436
Longitude,-2.003497
Notes:,[1] All Data GMT hour ending;  [2] Some shorthand is used V = Verified P = Provisionally Verified N = Not Verified S = Suspect [3] Unit of measurement (for pollutants) = ugm-3
Date,Time,Nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
2026-01-01,00:00:00,16.46697,V,no data,P,no data,P
2026-01-01,01:00:00,13.37907,V,no data,P,no data,P
2026-01-01,02:00:00,7.2977,V,no data,P,no data,P
2026-01-01,03:00:00,4.77127,V,no data,P,no data,P
2026-01-01,04:00:00,4.0697,V,no data,P,no data,P
2026-01-01,05:00:00,3.46152,V,no data,P,no data,P
2026-01-01,06:00:00,7.06372,V,no data,P,no data,P
2026-01-01,07:00:00,6.362,V,no data,P,no data,P
2026-01-01,08:00:00,8.32685,V,no data,P,no data,P
2026-01-01,09:00:00,14.87572,V,no data,P,no data,P
2026-01-01,10:00:00,10.71238,V,no data,P,no data,P
2026-01-01,11:00:00,13.5657,V,no data,P,no data,P
2026-01-01,12:00:00,18.71054,V,no data,P,no data,P
2026-01-01,13:00:00,27.2709,V,no data,P,no data,P
2026-01-01,14:00:00,25.86758,V,no data,P,no data,P
2026-01-01,15:00:00,18.28911,V,no data,P,no data,P
2026-01-01,16:00:00,17.26096,V,no data,P,no data,P
2026-01-01,17:00:00,20.76994,V,no data,P,no data,P
2026-01-01,18:00:00,16.65317,V,no data,P,no data,P
2026-01-01,19:00:00,15.67085,V,no data,P,no data,P
2026-01-01,20:00:00,17.49565,V,no data,P,no data,P
2026-01-01,21:00:00,14.96938,V,no data,P,no data,P
2026-01-01,22:00:00,13.00458,V,no data,P,no data,P
2026-01-01,23:00:00,15.06257,V,no data,P,no data,P
2026-01-02,00:00:00,7.71836,V,no data,P,no data,P
2026-01-02,01:00:00,2.15176,V,no data,P,no data,P
2026-01-02,02:00:00,3.5085,V,no data,P,no data,P
2026-01-02,03:00:00,6.22171,V,no data,P,no data,P
2026-01-02,04:00:00,9.49639,V,no data,P,no data,P
2026-01-02,05:00:00,9.02849,V,no data,P,no data,P
2026-01-02,06:00:00,15.29697,V,no data,P,no data,P
2026-01-02,07:00:00,31.01303,V,no data,P,no data,P
2026-01-02,08:00:00,44.53275,V,no data,P,no data,P
2026-01-02,09:00:00,40.368,V,no data,P,no data,P
2026-01-02,10:00:00,37.65429,V,no data,P,no data,P
2026-01-02,11:00:00,24.46365,V,no data,P,no data,P
2026-01-02,12:00:00,26.80174,V,no data,P,no data,P
2026-01-02,13:00:00,30.82433,V,no data,P,no data,P
2026-01-02,14:00:00,35.87735,V,17.475,P,6.203,P
2026-01-02,15:00:00,40.0878,V,15.35,P,6.085,P
2026-01-02,16:00:00,40.22848,V,11.55,P,5.425,P
2026-01-02,17:00:00,42.14639,V,8.675,P,5.024,P
2026-01-02,18:00:00,46.77543,V,11.6,P,6.156,P
2026-01-02,19:00:00,42.47432,V,11.275,P,6.863,P
2026-01-02,20:00:00,50.98609,V,12.7,P,8.16,P
2026-01-02,21:00:00,32.08881,V,7.95,P,4.717,P
2026-01-02,22:00:00,20.58199,V,6.3,P,3.561,P
2026-01-02,23:00:00,20.81559,V,6.225,P,3.302,P
2026-01-03,00:00:00,13.47098,V,7.3,P,2.948,P
2026-01-03,01:00:00,17.26031,V,7.675,P,3.396,P
2026-01-03,02:00:00,16.37266,V,8.15,P,3.514,P
2026-01-03,03:00:00,21.33096,V,7.15,P,3.09,P
2026-01-03,04:00:00,14.45482,V,6.275,P,2.453,P
2026-01-03,05:00:00,23.62181,V,5.4,P,2.311,P
2026-01-03,06:00:00,33.02656,V,6.6,P,2.288,P
2026-01-03,07:00:00,24.23132,V,6.425,P,2.382,P
2026-01-03,08:00:00,28.20727,V,6.75,P,2.877,P
2026-01-03,09:00:00,23.01476,V,9.45,P,3.892,P
2026-01-03,10:00:00,18.80388,V,8.95,P,3.491,P
2026-01-03,11:00:00,18.28965,V,11.875,P,3.656,P
2026-01-03,12:00:00,19.87952,V,13.25,P,4.127,P
2026-01-03,13:00:00,18.38301,V,9.275,P,3.561,P
2026-01-03,14:00:00,19.27237,V,11.025,P,3.585,P
2026-01-03,15:00:00,20.91022,V,9.05,P,3.703,P
2026-01-03,16:00:00,33.86741,V,9.225,P,3.656,P
2026-01-03,17:00:00,41.44488,V,9.875,P,4.764,P
2026-01-03,18:00:00,42.0064,V,10.95,P,5.425,P
2026-01-03,19:00:00,37.32919,V,9.975,P,5.849,P
2026-01-03,20:00:00,35.03845,V,11.45,P,6.84,P
2026-01-03,21:00:00,43.83094,V,12.125,P,7.476,P
2026-01-03,22:00:00,33.72915,V,10.575,P,6.203,P
2026-01-03,23:00:00,26.10364,V,7.825,P,4.717,P
2026-01-04,00:00:00,18.38501,V,7.525,P,4.34,P
2026-01-04,01:00:00,15.01731,V,6.725,P,3.75,P
2026-01-04,02:00:00,23.24894,V,6.5,P,3.373,P
2026-01-04,03:00:00,30.82643,V,5.875,P,3.137,P
2026-01-04,04:00:00,12.81788,V,6.175,P,2.807,P
2026-01-04,05:00:00,18.52489,V,6.55,P,3.679,P
2026-01-04,06:00:00,32.27676,V,5.975,P,3.255,P
2026-01-04,07:00:00,34.99009,V,5.925,P,2.807,P
2026-01-04,08:00:00,26.14791,V,5.725,P,2.759,P
2026-01-04,09:00:00,28.67238,V,5.35,P,3.042,P
2026-01-04,10:00:00,33.7686,V,6.25,P,3.632,P
2026-01-04,11:00:00,35.92029,V,10.15,P,4.41,P
2026-01-04,12:00:00,24.88393,V,14.775,P,4.057,P
